Word,Class,isLessRelateOf,isRelateOf,isSynonymOf,isTheSameAs,Name,Info,Birthday,DateOfDeath,Education,Field,Nationality,PublicationDate
cấu_trúc_dữ_liệu,Object,"algorithm,thuật_giải,giải_thuật,thuật_toán,natural_language_processing,embed,quy_hoạch_động,rời_rạc,truy_hồi,ai,lý_thuyết_trò_chơi,parallel,thông_minh,neighbor,classification,lý_thuyết_đồ_thị,donald_knuth,linear,nlp,AI,algorithms","khoa_học_máy_tính,thiết_kế",ctdl,,cấu trúc dữ liệu,"Trong khoa học máy tính, cấu trúc dữ liệu là một cách lưu dữ liệu trong máy tính sao cho nó có thể được sử dụng một cách hiệu quả. Trong thiết kế nhiều loại chương trình, việc chọn cấu trúc dữ liệu là vấn đề quan trọng.",,,,,,
classification,Object,"algorithm,thuật_giải,giải_thuật,search,natural_language_processing,heuristic,cấu_trúc_dữ_liệu,quy_hoạch_động,ctdl,nlp,function,rời_rạc,truy_hồi,ai,AI,tài_liệu,protocol,dataset,overflow,tuple,dung_lượng,lý_thuyết_trò_chơi,parallel,thông_minh,lý_thuyết_đồ_thị,donald_knuth,xóa_đỉnh,algorithms","khoa_học_máy_tính,dữ_liệu,train,neighbor,chiến_lược,kĩ_thuật,linear",,,classification,"Ý tưởng của bài toán phân loại bắt đầu như sau: Chúng ta có một danh sách các quan sát (observation). Một quan sát là một khái niệm chung chung. Với Machine Learning, một quan sát thường là sự mô tả một đối tượng trong một trạng thái nào đó. Để hiểu rõ hơn, hãy xét một ví dụ rất phổ biến trong Machine Learning: hoa diên vĩ (Iris flowers). Giả sử một quan sát là sự mô tả một bông hoa. Với mỗi bông hoa, chúng ta có bốn thông số: độ dày và chiều dài của đài hoa (sepal) và cánh hoa (petal). Trên thực tế, ví dụ về hoa diên vĩ nổi tiếng với cái tên the Iris dataset và đây là bộ dữ liệu được sử dụng rất rộng rãi trong giới nghiên cứu Machine Learning để tìm hiểu về các thuật toán phân loại.",,,,,,
dữ_liệu,Other,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,natural_language_processing,lập_trình_viên,đồ_thị_vô_hướng,bộ_nhớ,đồ_thị,tree,cấp_phát,bảo_mật,mã_hóa,string,nlp,function,rời_rạc,cú_pháp,dslk,dslk_đơn,cấu_trúc,ngăn_xếp,bảng_băm,matrix,mã_băm,leaf,neighbor,chiến_lược,kĩ_thuật,ai,AI,bit,algorithms","classification,ctdl,train,protocol,dataset,overflow,tài_liệu,linear,tuple,dung_lượng",,,dữ liệu,,,,,,,
function,Other,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,tìm_kiếm,natural_language_processing,classification,dữ_liệu,ctdl,bảo_mật,mã_hóa,nlp,tối_ưu_hóa,AI,lý_thuyết_trò_chơi,kĩ_thuật,ai,sort,biên_toàn_cục,algorithms","heuristic,swap,đầu_vào,phân_hoạch,linear,mã_băm,tham_số,ánh_xạ,truy_nhập",,,function,,,,,,,
đồ_thị,Object,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,graph,nút_gốc,root,dãy_fibonacci,xác_suất,đường_thẳng,dữ_liệu,dslk,dslk_đơn,mã_băm,dataset,cấu_trúc,ngăn_xếp,bảng_băm,matrix,bfs,dfs,insert,kĩ_thuật,leaf,trạng_thái,tiền_tố,hậu_tố,tuple,theory,algorithms","euler,cây,toán_học,tree,ctdl,node,xóa_đỉnh,lý_thuyết_đồ_thị,euclidean,không_gian_vector","graph,đồ_thị_vô_hướng",đồ_thị_vô_hướng,đồ thị,"Cho đồ thị G=(X, E). Nếu chúng ta không phân biệt thứ tự của cặp đỉnh liên kết với mỗi cạnh thì sẽ có được đồ thị vô hướng. Đồ thị vô hướng G=(X, E) được định nghĩa bởi: tập hợp X ≠ ∅ được gọi là tập các đỉnh của đồ thị; tập hợp E là tập các cạnh của đồ thị. mỗi cạnh e∈E được liên kết với một cặp đỉnh {i, j} ⊆ X không phân biệt thứ tự.",,,,,,
nlp,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,quy_hoạch_động,bộ_nhớ,cấu_trúc_dữ_liệu,hằng_số,var,chuỗi,query,string,function,rời_rạc,dữ_liệu,tối_ưu_hóa,google,công_cụ,microsoft,optimize,luật,rời_rạc_hóa,framework,matlab,oop,lý_thuyết_trò_chơi,parallel,neighbor,classification,lý_thuyết_đồ_thị,donald_knuth,linear,kĩ_thuật,dataset,algorithms","khoa_học_máy_tính,chuỗi,truy_hồi,heuristic,ai,thông_minh,thuật_ngữ,tài_liệu,AI,natural_language_processing","natural_language_processing,ai,artificial_intelligence,AI,trí_tuệ_nhân_tạo","ai,AI,natural_language_processing",nlp,Xử lý ngôn ngữ tự nhiên (natural language processing - NLP) là một nhánh của trí tuệ nhân tạo tập trung vào các ứng dụng trên ngôn ngữ của con người. Trong trí tuệ nhân tạo thì xử lý ngôn ngữ tự nhiên là một trong những phần khó nhất vì nó liên quan đến việc phải hiểu ý nghĩa ngôn ngữ-công cụ hoàn hảo nhất của tư duy và giao tiếp.,,,,,,
ai,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,quy_hoạch_động,bộ_nhớ,cấu_trúc_dữ_liệu,hằng_số,var,chuỗi,query,string,function,rời_rạc,dữ_liệu,tối_ưu_hóa,google,công_cụ,microsoft,optimize,luật,rời_rạc_hóa,framework,matlab,oop,lý_thuyết_trò_chơi,parallel,neighbor,classification,lý_thuyết_đồ_thị,donald_knuth,linear,kĩ_thuật,dataset,algorithms","khoa_học_máy_tính,chuỗi,truy_hồi,heuristic,thông_minh,thuật_ngữ,tài_liệu,nlp,AI,natural_language_processing","natural_language_processing,nlp,artificial_intelligence,AI,trí_tuệ_nhân_tạo","nlp,AI,natural_language_processing",nlp,Xử lý ngôn ngữ tự nhiên (natural language processing - NLP) là một nhánh của trí tuệ nhân tạo tập trung vào các ứng dụng trên ngôn ngữ của con người. Trong trí tuệ nhân tạo thì xử lý ngôn ngữ tự nhiên là một trong những phần khó nhất vì nó liên quan đến việc phải hiểu ý nghĩa ngôn ngữ-công cụ hoàn hảo nhất của tư duy và giao tiếp.,,,,,,
AI,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,quy_hoạch_động,bộ_nhớ,cấu_trúc_dữ_liệu,hằng_số,var,chuỗi,query,string,function,rời_rạc,dữ_liệu,tối_ưu_hóa,google,công_cụ,microsoft,optimize,luật,rời_rạc_hóa,framework,matlab,oop,lý_thuyết_trò_chơi,parallel,neighbor,classification,lý_thuyết_đồ_thị,donald_knuth,linear,kĩ_thuật,dataset,algorithms","khoa_học_máy_tính,chuỗi,truy_hồi,heuristic,ai,thông_minh,thuật_ngữ,tài_liệu,nlp,natural_language_processing","natural_language_processing,nlp,ai,artificial_intelligence,trí_tuệ_nhân_tạo","nlp,ai,natural_language_processing",nlp,Xử lý ngôn ngữ tự nhiên (natural language processing - NLP) là một nhánh của trí tuệ nhân tạo tập trung vào các ứng dụng trên ngôn ngữ của con người. Trong trí tuệ nhân tạo thì xử lý ngôn ngữ tự nhiên là một trong những phần khó nhất vì nó liên quan đến việc phải hiểu ý nghĩa ngôn ngữ-công cụ hoàn hảo nhất của tư duy và giao tiếp.,,,,,,
microsoft,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,lập_trình,bảo_mật,query,nlp,truy_hồi,công_cụ,ai,tài_liệu,AI,java,windows,lặp,bfs,dfs,dijsktra,neighbor,lý_thuyết_đồ_thị,halmiton,backtracking,donald_knuth,tuple,lỗi_cú_pháp,lập_trình_hướng_đối_tượng,protocol,compiler,framework,matlab,algorithms,google","search,truy_hồi,công_cụ,java,windows,lập_trình_viên,cú_pháp,framework,matlab,google",,"công_cụ,framework,matlab,google",google,"MATLAB là phần mềm cung cấp môi trường tính toán số và lập trình, do công ty MathWorksthiết kế. MATLAB cho phép tính toán số với ma trận, vẽ đồ thị hàm số hay biểu đồ thông tin, thực hiện thuật toán, tạo các giao diện người dùng và liên kết với những chương trình máy tính viết trên nhiều ngôn ngữ lập trình khác",,,,,,
framework,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,lập_trình,bảo_mật,query,nlp,truy_hồi,công_cụ,ai,tài_liệu,AI,microsoft,java,windows,lặp,bfs,dfs,dijsktra,neighbor,lý_thuyết_đồ_thị,halmiton,backtracking,donald_knuth,tuple,lỗi_cú_pháp,lập_trình_hướng_đối_tượng,protocol,compiler,matlab,algorithms,google","search,truy_hồi,công_cụ,java,windows,lập_trình_viên,cú_pháp,microsoft,matlab,google",,"công_cụ,microsoft,matlab,google",google,"MATLAB là phần mềm cung cấp môi trường tính toán số và lập trình, do công ty MathWorksthiết kế. MATLAB cho phép tính toán số với ma trận, vẽ đồ thị hàm số hay biểu đồ thông tin, thực hiện thuật toán, tạo các giao diện người dùng và liên kết với những chương trình máy tính viết trên nhiều ngôn ngữ lập trình khác",,,,,,
matlab,Entity,"algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,lập_trình,bảo_mật,query,nlp,truy_hồi,công_cụ,ai,tài_liệu,AI,microsoft,java,windows,lặp,bfs,dfs,dijsktra,neighbor,lý_thuyết_đồ_thị,halmiton,backtracking,donald_knuth,tuple,lỗi_cú_pháp,lập_trình_hướng_đối_tượng,protocol,compiler,framework,algorithms,google","search,truy_hồi,công_cụ,java,windows,lập_trình_viên,cú_pháp,microsoft,framework,google",,"công_cụ,microsoft,framework,google",google,"MATLAB là phần mềm cung cấp môi trường tính toán số và lập trình, do công ty MathWorksthiết kế. MATLAB cho phép tính toán số với ma trận, vẽ đồ thị hàm số hay biểu đồ thông tin, thực hiện thuật toán, tạo các giao diện người dùng và liên kết với những chương trình máy tính viết trên nhiều ngôn ngữ lập trình khác",,,,,,
tham_lam,Entity,"rời_rạc,truy_hồi,tối_ưu_hóa,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear","algorithm,thuật_giải,giải_thuật,algorithms",greedy,,tham lam,Giải thuật tham lam (tiếng Anh: Greedy algorithm) là một thuật toán giải quyết một bài toán theo kiểu metaheuristic để tìm kiếm lựa chọn tối ưu địa phương ở mỗi bước đi với hy vọng tìm được tối ưu toàn cục.,,,,,,
rời_rạc,Entity,"natural_language_processing,liên_tục,heuristic,cấu_trúc_dữ_liệu,classification,dữ_liệu,nlp,ai,AI,tham_lam,quy_hoạch_động,mã_hóa,truy_hồi,java,offline,sort,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear,lý_thuyết_trò_chơi,thông_minh,neighbor,donald_knuth","algorithm,thuật_giải,giải_thuật,hiệu_quả,khoa_học_máy_tính,tối_ưu_hóa,algorithms",,,rời rạc,"Ứng dụng phổ biến của rời rạc hóa là đưa các vùng dữ liệu lớn về vùng dữ liệu nhỏ để dễ xử lý, sao cho vẫn thỏa mãn yêu cầu của bài toán đặt ra.",,,,,,
truy_hồi,Other,"google,heuristic,lập_trình_viên,công_cụ,lặp,halmiton,backtracking,cấu_trúc_dữ_liệu,classification,microsoft,framework,matlab,tham_lam,rời_rạc,quy_hoạch_động,tìm_kiếm_nhị_phân,chuỗi,query,tối_ưu_hóa,bfs,dfs,dijsktra,neighbor,lý_thuyết_đồ_thị,java,offline,sort,parallel,độ_phức_tạp,thiết_kế,linear,lý_thuyết_trò_chơi,thông_minh,donald_knuth,thuật_ngữ,tài_liệu,windows,cú_pháp","algorithm,thuật_giải,giải_thuật,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,google,công_cụ,nlp,ai,AI,microsoft,framework,matlab,algorithms",,,truy hồi,"Truy hồi thông tin (hay còn gọi là truy vấn thông tin) là hoạt động thu thập các nguồn thông tin liên quan đến một thông tin cần tìm kiếm, có thể dựa trên siêu dữ liệu (metadata) và trên việc đánh chỉ mục toàn văn (hoặc dựa trên nội dung khác). Những hệ thống truy hồi thông tin tự động được sử dụng để giảm thiểu ""quá tải thông tin"". Nhiều các trường đại học và thư viện công cộng sử dụng hệ thống truy hồi thông tin để cung cấp truy cập đến sách báo và các tài liệu khác. Các máy tìm kiếm trên web được coi là những ứng dụng truy hồi thông tin dễ nhận thấy nhất.",,,,,,
tối_ưu_hóa,Object,"hiệu_quả,khoa_học_máy_tính,search,tìm_kiếm,natural_language_processing,function,nlp,ai,AI,tham_lam,truy_hồi,sort,java,offline,bfs,dfs,parallel,dijsktra,độ_phức_tạp,lý_thuyết_đồ_thị,thiết_kế,linear,lý_thuyết_trò_chơi,kĩ_thuật","algorithm,thuật_giải,giải_thuật,liên_tục,heuristic,rời_rạc,algorithms",optimize,,tối ưu hóa,"Trong khoa học máy tính và toán học, bài toán tối ưu hóa là bài toán tìm kiếm lời giải tốt nhất trong tất cả các lời giải khả thi. Bài toán tối ưu hóa có thể được chia thành hai loại tùy thuộc vào việc các biến là liên tục hay rời rạc.",,,,,,
